t	A01:w01	A02:w02	A03:w03	A04:w04	A05:w05	A06:w06	A07:w07	A08:w08	A09:w09	A10:w10	A11:w11	A12:w12	A13:w13	A14:w14	A15:w15	A16:w16	A17:w17	A18:w18	A19:s111	A20:s112	A21:s211	A22:s212	A23:a11	A24:a21
0	-0.00423348	-0.00567436	-0.00622714	-0.00563276	-0.00526619	-0.00793421	-0.00687671	-0.00765085	-0.00833285	-0.00669312	-0.00670457	-0.00497389	-0.00400293	-0.00223619	-0.00399685	-0.0036515	-0.00233009	-0.000650167	-0.00208235	-0.00793421	-0.00148636	-0.0036515	-0.00669312	-0.00148636
0.00195312	-0.00308812	-0.0040676	-0.00444174	-0.00413859	-0.00390053	-0.00616837	-0.00529993	-0.0060631	-0.00629532	-0.0050993	-0.00504398	-0.00346184	-0.00290179	-0.00157905	-0.00295091	-0.00287098	-0.00190437	-0.000632882	-0.00208205	-0.00616837	-0.00167274	-0.00287098	-0.0050993	-0.00167274
0.00390625	-0.00176406	-0.00222853	-0.00240332	-0.00241673	-0.00234735	-0.00414836	-0.00348389	-0.0042026	-0.00397563	-0.00334525	-0.00330758	-0.00187588	-0.00182009	-0.000984967	-0.00199986	-0.00214785	-0.00155866	-0.000686407	-0.00171864	-0.00414836	-0.00170618	-0.00214785	-0.00334525	-0.00170618
0.00585938	-0.000306249	-0.00021556	-0.000173748	-0.00051558	-0.000643253	-0.0019381	-0.00147283	-0.00211871	-0.00144255	-0.00148129	-0.00153315	-0.000264645	-0.000785589	-0.000453174	-0.00114727	-0.00148755	-0.00128463	-0.000806332	-0.00101429	-0.0019381	-0.00158799	-0.00148755	-0.00148129	-0.00158799
0.0078125	0.00123906	0.00190951	0.0021807	0.00151014	0.00117087	0.000393391	0.000679135	0.000127673	0.00122285	0.000443697	0.000257611	0.00133538	0.000195861	3.78489e-05	-0.000366688	-0.000872076	-0.00105393	-0.000976086	-3.28422e-05	0.000393391	-0.00133914	-0.000872076	0.000443697	-0.00133914
0.00976562	0.00282073	0.00407994	0.00458717	0.00359666	0.00304663	0.00277042	0.00290751	0.00246239	0.00392866	0.00237966	0.00205088	0.00289941	0.00113535	0.00052166	0.000387907	-0.000267476	-0.000825405	-0.00116897	0.00112706	0.00277042	-0.000997484	-0.000267476	0.00237966	-0.000997484
0.0117188	0.00438309	0.00622217	0.00696421	0.005669	0.00492465	0.00511038	0.00513625	0.00479913	0.00657392	0.0042727	0.00383353	0.00440526	0.00205266	0.0010345	0.00116849	0.000364035	-0.000555187	-0.00135171	0.00234348	0.00511038	-0.000611305	0.000364035	0.0042727	-0.000611305
0.0136719	0.00586498	0.00825521	0.0092209	0.00764275	0.00673592	0.00732565	0.00727928	0.00704193	0.0090493	0.00606465	0.00558603	0.00582886	0.0029639	0.00160348	0.00201416	0.00105184	-0.000206739	-0.00148892	0.00348651	0.00732565	-0.000233114	0.00105184	0.00606465	-0.000233114
0.015625	0.00719893	0.0100907	0.0112574	0.00942397	0.00840104	0.00932503	0.00924349	0.0090884	0.0112442	0.00769043	0.00727284	0.00713897	0.00387418	0.00223845	0.00294113	0.00180671	0.000240028	-0.0015496	0.00443518	0.00932503	8.79765e-05	0.00180671	0.00769043	8.79765e-05
0.0175781	0.00831556	0.0116363	0.0129681	0.0109159	0.00983405	0.0110168	0.0109311	0.0108356	0.0130503	0.00908113	0.00884056	0.00829172	0.00476849	0.0029251	0.00393033	0.00261289	0.000782073	-0.00151122	0.00509274	0.0110168	0.000313044	0.00261289	0.00908113	0.000313044
