t	A01:11admp	A02:11avg1	A03:11avg2	A04:11diff	A05:11sum	D06:11thre1	D07:11thre2	D08:11thre3	D09:11thre4	D10:11thre5	D11:11thre6	D12:11thre7	D13:11thre8	D14:11thre9	D15:11thre10	D16:11thre11	D17:11thre12	D18:11thre13	D19:11thre14	D20:11thre15	D21:11thre16	D22:11thre17
0	-0.00669312	-0.00616185	-0.00273844	-0.00342341	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00195312	-0.0050993	-0.00504589	-0.00251703	-0.00252886	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00390625	-0.00334525	-0.00330861	-0.00229981	-0.0010088	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00585938	-0.00148129	-0.00146095	-0.00209196	0.000631014	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0078125	0.000443697	0.000447353	-0.00189798	0.00234534	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00976562	0.00237966	0.00236535	-0.0017217	0.00408705	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0117188	0.0042727	0.004239	-0.00156627	0.00580527	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0136719	0.00606465	0.00600926	-0.00143419	0.00744345	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.015625	0.00769043	0.00761207	-0.00132731	0.00893938	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0175781	0.00908113	0.00897908	-0.00124676	0.0102258	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0195312	0.0101657	0.01004	-0.00119288	0.0112329	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0214844	0.0108733	0.010727	-0.00116505	0.0118921	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0234375	0.011142	0.0109799	-0.00116155	0.0121414	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0253906	0.0109243	0.0107528	-0.00117944	0.0119323	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0273438	0.0101922	0.010021	-0.00121448	0.0112355	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0292969	0.00894642	0.0087858	-0.0012612	0.010047	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03125	0.00721884	0.00708024	-0.00131298	0.00839322	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0332031	0.00507545	0.00496968	-0.00136241	0.00633209	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0351562	0.00261474	0.00255219	-0.00140169	0.00395388	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0371094	-3.3617e-05	-4.60943e-05	-0.00142314	0.00137704	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0390625	-0.0027194	-0.00267752	-0.00141975	-0.00125777	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0410156	-0.00527954	-0.00518322	-0.00138575	-0.00379747	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0429688	-0.00755072	-0.00740457	-0.00131712	-0.00608745	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0449219	-0.00938344	-0.00919573	-0.00121189	-0.00798383	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.046875	-0.010653	-0.0104362	-0.00107038	-0.00936584	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0488281	-0.0112722	-0.0110412	-0.000895153	-0.010146	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0507812	-0.0111983	-0.0109693	-0.000690825	-0.0102785	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0527344	-0.0104375	-0.0102266	-0.000463682	-0.00976289	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0546875	-0.00904393	-0.00886591	-0.000221153	-0.00864476	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0566406	-0.00711632	-0.00698249	2.87491e-05	-0.00701123	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0585938	-0.00478721	-0.00470527	0.000278047	-0.00498332	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0605469	-0.00221229	-0.00218534	0.000519318	-0.00270466	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0625	0.000443459	0.000416676	0.000746141	-0.000329465	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0644531	0.00301886	0.00294415	0.000953357	0.00199079	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0664062	0.00537014	0.00525633	0.00113724	0.0041191	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0683594	0.00738001	0.00723743	0.00129547	0.00594196	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0703125	0.00896215	0.00880297	0.00142704	0.00737593	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0722656	0.0100667	0.00990129	0.00153203	0.00836926	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0742188	0.010675	0.0105134	0.00161137	0.00890201	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0761719	0.0107985	0.0106468	0.0017514	0.00889542	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.078125	0.0104671	0.0103308	0.00176458	0.00856618	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0800781	0.00972676	0.00960835	0.00173604	0.0078723	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0820312	0.00863123	0.00853038	0.00166721	0.00686317	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0839844	0.00723314	0.00715017	0.00156044	0.00558974	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0859375	0.00558615	0.00552018	0.00141913	0.00410105	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0878906	0.00374126	0.00369263	0.0012478	0.00244483	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0898438	0.00175047	0.00172059	0.0010521	0.000668485	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0917969	-0.000329971	-0.000338713	0.000838904	-0.00117762	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.09375	-0.00243664	-0.00242027	0.000616152	-0.00303642	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0957031	-0.00449419	-0.00444913	0.0003927	-0.00484183	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0976562	-0.00641656	-0.00633907	0.00017802	-0.00651709	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0996094	-0.00810647	-0.00799497	-1.81802e-05	-0.00797679	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
