t	A01:sig	A02:1sig'	A03:1sum	A04:1diff	A05:1ax1	A06:1ax2	A07:1ax3	A08:1ax4	A09:1ax5	D10:on	D11:ax
0	-0.00517044	0	0	0	0	0	0	0	0	0	0
0.00195312	-0.0038838	0	0	0	0	0	0	0	0	0	0
0.00390625	-0.00248317	0	0	0	0	0	0	0	0	0	0
0.00585938	-0.0010039	0	0	0	0	0	0	0	0	0	0
0.0078125	0.000524164	0	0	0	0	0	0	0	0	0	0
0.00976562	0.00207295	0	0	0	0	0	0	0	0	0	0
0.0117188	0.0036115	0	0	0	0	0	0	0	0	0	0
0.0136719	0.00510184	0	0	0	0	0	0	0	0	0	0
0.015625	0.0064959	0	0	0	0	0	0	0	0	0	0
0.0175781	0.00773472	0	0	0	0	0	0	0	0	0	0
0.0195312	0.00875011	0	0	0	0	0	0	0	0	0	0
0.0214844	0.00946933	0	0	0	0	0	0	0	0	0	0
0.0234375	0.0098217	0	0	0	0	0	0	0	0	0	0
0.0253906	0.00974745	0	0	0	0	0	0	0	0	0	0
0.0273438	0.00920653	0	0	0	0	0	0	0	0	0	0
0.0292969	0.00818707	0	0	0	0	0	0	0	0	0	0
0.03125	0.00671133	0	0	0	0	0	0	0	0	0	0
0.0332031	0.00483883	0	0	0	0	0	0	0	0	0	0
0.0351562	0.00266524	0	0	0	0	0	0	0	0	0	0
0.0371094	0.000317387	0	0	0	0	0	0	0	0	0	0
0.0390625	-0.00205615	0	0	0	0	0	0	0	0	0	0
0.0410156	-0.00429688	0	0	0	0	0	0	0	0	0	0
0.0429688	-0.00625065	0	0	0	0	0	0	0	0	0	0
0.0449219	-0.00778121	0	0	0	0	0	0	0	0	0	0
0.046875	-0.00878351	0	0	0	0	0	0	0	0	0	0
0.0488281	-0.00919261	0	0	0	0	0	0	0	0	0	0
0.0507812	-0.0089898	0	0	0	0	0	0	0	0	0	0
0.0527344	-0.00820311	0	0	0	0	0	0	0	0	0	0
0.0546875	-0.00690314	0	0	0	0	0	0	0	0	0	0
0.0566406	-0.00519541	0	0	0	0	0	0	0	0	0	0
0.0585938	-0.00320844	0	0	0	0	0	0	0	0	0	0
0.0605469	-0.00108151	0	0	0	0	0	0	0	0	0	0
0.0625	0.00104871	0	0	0	0	0	0	0	0	0	0
0.0644531	0.00305918	0	0	0	0	0	0	0	0	0	0
0.0664062	0.00484911	0	0	0	0	0	0	0	0	0	0
0.0683594	0.00634486	0	0	0	0	0	0	0	0	0	0
0.0703125	0.00750094	0	0	0	0	0	0	0	0	0	0
0.0722656	0.00829804	0	0	0	0	0	0	0	0	0	0
0.0742188	0.00873743	0	0	0	0	0	0	0	0	0	0
0.0761719	0.00883518	0	0	0	0	0	0	0	0	0	0
0.078125	0.00861494	0	0	0	0	0	0	0	0	0	0
0.0800781	0.00810271	0	0	0	0	0	0	0	0	0	0
0.0820312	0.0073232	0	0	0	0	0	0	0	0	0	0
0.0839844	0.00629858	0	0	0	0	0	0	0	0	0	0
0.0859375	0.00505042	0	0	0	0	0	0	0	0	0	0
0.0878906	0.00360267	0	0	0	0	0	0	0	0	0	0
0.0898438	0.0019867	0	0	0	0	0	0	0	0	0	0
0.0917969	0.000245536	0	0	0	0	0	0	0	0	0	0
0.09375	-0.00156227	0	0	0	0	0	0	0	0	0	0
0.0957031	-0.00336194	0	0	0	0	0	0	0	0	0	0
0.0976562	-0.00506387	0	0	0	0	0	0	0	0	0	0
0.0996094	-0.00656868	0	0	0	0	0	0	0	0	0	0
0.101562	-0.00777462	0	0	0	0	0	0	0	0	0	0
0.103516	-0.00858717	0	0	0	0	0	0	0	0	0	0
0.105469	-0.00892911	0	0	0	0	0	0	0	0	0	0
0.107422	-0.00875008	0	0	0	0	0	0	0	0	0	0
0.109375	-0.00803407	0	0	0	0	0	0	0	0	0	0
0.111328	-0.00680324	0	0	0	0	0	0	0	0	0	0
0.113281	-0.00511856	0	0	0	0	0	0	0	0	0	0
0.115234	-0.00307558	0	0	0	0	0	0	0	0	0	0
0.117188	-0.000797061	0	0	0	0	0	0	0	0	0	0
0.119141	0.00157784	0	0	0	0	0	0	0	0	0	0
0.121094	0.0039056	0	0	0	0	0	0	0	0	0	0
0.123047	0.00605012	0	0	0	0	0	0	0	0	0	0
0.125	0.00789422	0	0	0	0	0	0	0	0	0	0
0.126953	0.00934754	0	0	0	0	0	0	0	0	0	0
0.128906	0.0103516	0	0	0	0	0	0	0	0	0	0
